
"Gener","Gender id"
"Female","1"
"Male","2"
"Other","3"
"",""
"Marital Status","Marital id"
"Single","4"
"Married","2"
"",""
"Industry","industry id"
"IT","1"
"NON IT","2"
"",""
"language_level","language_level id"
"Read","1"
"Write","2"
"Speak","3"
"",""
"nop_days","nop_days id"
"Immediately Available","1"
"Serving Notice Period","2"
"Buyable Notice Period","3"
"",""
"hold(offers_in_hand)","hold id"
"Yes","1"
"No","2"
"",""
"degree_title(education)","eduction id"
"Doctorate/PhD","2"
"Post Graduation","3"
"Graduation","4"
"",""
"degree_result(Grade)","degree_result id"
"Scale 10 Grading System","1"
"Scale 10 Grading System","2"
"% Marks out 100 Maximum","3"
"Course requires a Pass","4"
"",""
"contract_type(Preferences)","contract_type id"
"Yes","1"
"NO","2"
"",""
"work_option","work_option id"
"Willing to WFO","1"
"Looking for WFH Only","2"
"Flexible","3"
